source,target,count,amount
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x7727e5113d1d161373623e5f49fd568b4f543a9e,279,2459.340926
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,271,1484.239027
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,269,557.1369554
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x8271b2e8cbe29396e9563229030c89679b9470db,258,3007.944436
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,255,419.832522
0xd24400ae8bfebb18ca49be86258a3c749cf46853,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,243,17592.26168
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,229,785.8282858
0x32be343b94f860124dc4fee278fdcbd38c102d88,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,223,38621.15531
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,204,2034.092397
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,203,122972.6499
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,203,25280
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,198,24159.53402
0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x1522900b6dafac587d499a862861c0869be6e428,196,54256.95649
0x8271b2e8cbe29396e9563229030c89679b9470db,0xfa52274dd61e1643d2205169732f29114bc240b3,195,1621.538652
0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,189,1596.816062
0x1522900b6dafac587d499a862861c0869be6e428,0xe94b04a0fed112f3664e45adb2b8915693dd5ff3,186,24461.43457
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,185,25882
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x243bec9256c9a3469da22103891465b47583d9f1,182,464.6040699
