co_miners,pool_name
0xa2ea895ea9947731c5181ae1b06c325a637e3466,dwrafPool
0xaf21e72db1633e62e2801b2290f19a875be76acd,dwrafPool
0xe14800e2220c545fa60428c155c9fdf8834c2b3c,dwrafPool
0x2e1d8381bcd2cc15567e5dfbc43840d9c382ee63,dwrafPool
0x42249421b657afd2b510af88ff9694b0d20aba28,dwrafPool
0xf65e80a530c2923c112126fcd180e9b39837f5a6,dwrafPool
0xc57d5ea51d817b5a83c77934cacdae73d1b15679,dwrafPool
0x104bca046ebfbfa1d24bf5b06d0420d403db3f83,dwrafPool
0x0d1a0541c0263ebc00959cb22471b833aeb8d1bf,dwrafPool
0xe9ea808e1eab16940cb34c1d6f5b266eae1cea93,dwrafPool
0x8c6ff856d47befec44494dca66ed98e9cce73592,dwrafPool
0x11571d54a8a836bb3ac2dac8d0c417c4f130e03b,dwrafPool
0xabd2040abe7c54e5ce7ef62819de6bf362c0e853,dwrafPool
0xbebaf61ea3db7d80131a5d7352236fed56085699,dwrafPool
0x90e18c9fd1711e5fb96545b79981b1544dd9554b,dwrafPool
0x3509f7bd9557f8a9b793759b3e3bfa2cd505ae31,dwrafPool
0x03f187df9c836d0dc4dc6256f0a73e0bc3f1de8c,dwrafPool
0xf1b9392329d77a03ac23e56a60cf4d723e8eda90,dwrafPool
0x34cbf23dd6c6c547e152dcdb53cf130d2a7e47c8,dwrafPool
0x6b0c2372f0a1d0927859554f30b2e0f7c7eb5e4a,dwrafPool
0x5feddf388f844d00ed2774bea879c782405aecb1,dwrafPool
0x2257e0c8c24b6d1e50a5c1f5ce67f890adb2585c,dwrafPool
0x2d84e5075161737d15183e2d6435f55e97efe40a,dwrafPool
0x04ad25d1b8885fa2d759e6f7c73e35b321637a74,dwrafPool
0x5aeee2bd679ee5eb8c4b963ccbc75c0eda6ffb18,dwrafPool
0xb4b0dc4b1e91a450f68705406494d8edbc1eca78,dwrafPool
0x61adfdc23316c251141e02e455ce1bdb819c5823,dwrafPool
0x4ed6f2ba4ebec559523f47b1afbdb9079d87ba7c,dwrafPool
0x0a4f5d33ead9df42deb9175e3b42a2265cb5d676,dwrafPool
0x25f73a060f32e47b2d30595aa24dc00268c29825,dwrafPool
0x8dae5c9c7cb568cf402d65a529f46283d9db67df,dwrafPool
0x4cca845f7f74e9efcc4ef1bbb759080db178b0fa,dwrafPool
0x5e5937d57c7dd1e8c7064ab45a5d1f29e28e6016,dwrafPool
0x1c08dd9ae71f5f1ba80791992fbdf79501c7ae75,dwrafPool
0xa3535346eb7559eed5ebf3b9c00b3d93d3c91c8f,dwrafPool
0x232bd0f924ebe357d82c8802e331677587b6fdfd,dwrafPool
0xd31b4a8ef381cbad0cddec531ae4d4433a670bb1,dwrafPool
0x4b49cdd9617a01bb2e7bb2fcbebae8f1ea4f9aaf,dwrafPool
0x483485a4ac0b4f19be854986bbdaa065be03061a,dwrafPool
0x2e82f978fb50ff10c7c319762d13073f59907aa1,dwrafPool
0x8dc125d9674fefdc103bec1a214288b425737fe1,dwrafPool
0x4b697ca8396395e13c1b733702423ac963f9de9d,dwrafPool
0xf2edd873b8c3323f0e07ccc445e2f6c9efe49e2c,dwrafPool
0x9ee116dde97435a7c6ec090bf91c7a00b952716f,dwrafPool
0xc89a65c1c8636dc29dd41a67db8d21f87dd53759,dwrafPool
0x00d3accdb97dc18a74a23d8ccae7ec9075bace24,dwrafPool
0x03b1b51e1a77ffe6a9a486220691a3b25d42957e,dwrafPool
0x6a2eebd0205b7a9166bb4a8a66e14a763e25e43e,dwrafPool
0x206bbd14117df05cee2cb4dce2a31a898df5d9af,dwrafPool
0xb7145079931eaa65f643e64cd7d796d82bfad7e4,dwrafPool
0xaea5c7dc6f903e5c12fc9e6cebf36bb3b14a42ee,dwrafPool
0x701924c2ae94a10b1494f2989336cf543f6c0398,dwrafPool
0x1e16ab624b9507e16b60311796ad1b017027010c,dwrafPool
